version,published_date
v1.5.2,2026-04-13
v1.5.1,2026-03-23
v1.5.0,2026-03-09
v1.4.4,2026-01-26
v1.4.3,2025-12-09
v1.4.2,2025-11-12
v1.4.1,2025-10-07
v1.4.0,2025-09-16
v1.3.2,2025-07-08
v1.3.1,2025-06-16
v1.3.0,2025-05-21
v1.2.2,2025-04-08
v1.2.1,2025-03-05
v1.2.0,2025-02-05
v1.1.3,2024-11-04
v1.1.2,2024-10-14
v1.1.1,2024-09-24
v1.1.0,2024-09-09
v1.0.0,2024-06-03
v0.10.3,2024-05-22
v0.10.2,2024-04-17
v0.10.1,2024-03-18
v0.10.0,2024-02-13
v0.9.2,2023-11-14
v0.9.1,2023-10-11
v0.9.0,2023-09-26
v0.8.1,2023-06-13
v0.8.0,2023-05-17
v0.7.1,2023-02-27
v0.7.0,2023-02-13
